EventName,ElapsedTime,Timestamp,SessionID,Version,ButtonClickMessage,CurrentDurationEngaged,DragStartPosition,DragStopPosition,InjuryBodyRegion,InjuryName,InjuryPosition,InjuryRequiredProcedure,InjuryRequiredTreatmentCount,InjuryRequiredTreatmentsApplied,InjurySeverity,InjuryTreatedWithCorrectTreatment,InjuryTreatmentComplete,PatientBreathing,PatientHealthLevel,PatientHealthTimeRemaining,PatientHearing,PatientID,PatientMood,PatientPose,PatientPosition,PatientPulse,PatientRotation,PatientSpO2,PatientTriageLevel,PatientTriageSort,PlayerDirection,PlayerDistanceFromPatient,PlayerLeftHandPosition,PlayerPosition,PlayerRightHandPosition,TagType,TeleportPosition,ToolAttachMessage,ToolAttachParent,ToolCount,ToolMessageSender,ToolType,TotalDurationEngaged,TriageSortCommand,VoiceCaptureCommandDescription,VoiceCaptureMessage,
VOICE_CAPTURE,-33200,9/6/2025 1:22:51 PM,fd272957-0fe0-44ec-9d8d-aeddae9d9844,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Yes,
VOICE_CAPTURE,-17833,9/6/2025 1:23:06 PM,fd272957-0fe0-44ec-9d8d-aeddae9d9844,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,OK,
SESSION_START,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,
PATIENT_RECORD,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,collapsedLeft,100,Infinity,none,US Military 1,unresponsive,supine,"(1.7, 0.0, -16.0)",faint,"(0.0, -0.9, 0.0, -0.4)",low,EXPECTANT,still,
INJURY_RECORD,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,chest,L Chest Collapse,"(0.0, 0.0, 0.0)",decompressionNeedle,1,0,high,False,False,,,,,US Military 1,
PATIENT_RECORD,5,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,fast,100,Infinity,normal,US Military 3,agony,supine,"(4.0, 0.0, -15.4)",fast,"(0.0, -0.5, 0.0, 0.8)",low,IMMEDIATE,still,
INJURY_RECORD,5,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,chest,L Chest Burn,"(3.9, 1.3, -15.5)",burnDressing,1,0,high,False,False,,,,,US Military 3,
INJURY_RECORD,5,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,leftArm,L Forearm Burn,"(3.8, 1.4, -15.9)",burnDressing,1,0,medium,False,False,,,,,US Military 3,
PATIENT_RECORD,5,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,normal,100,Infinity,normal,US Military 4,calm,supine,"(0.7, 0.0, -18.4)",normal,"(0.0, -0.6, 0.0, 0.8)",normal,MINIMAL,still,
INJURY_RECORD,5,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,leftHand,L Wrist Broken,"(0.6, 1.4, -18.8)",splint,1,0,low,False,False,,,,,US Military 4,
PLAYER_POSITIONS,232,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.8, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_POSITIONS,232,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.8, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_POSITIONS,761,9/6/2025 1:23:25 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.8, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_POSITIONS,761,9/6/2025 1:23:25 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.8, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_POSITIONS,1244,9/6/2025 1:23:25 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.8, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
