EventName,ElapsedTime,Timestamp,SessionID,Version,ButtonClickMessage,InjuryBodyRegion,InjuryName,InjuryPosition,InjuryRequiredProcedure,InjuryRequiredTreatmentCount,InjuryRequiredTreatmentsApplied,InjurySeverity,InjuryTreatedWithCorrectTreatment,InjuryTreatmentComplete,PatientBreathing,PatientHealthLevel,PatientHealthTimeRemaining,PatientHearing,PatientID,PatientMood,PatientPose,PatientPosition,PatientPulse,PatientRotation,PatientSpO2,PatientTriageLevel,PatientTriageSort,PlayerDirection,PlayerDistanceFromPatient,PlayerLeftHandPosition,PlayerPosition,PlayerRightHandPosition,TagType,TeleportPosition,ToolAttachMessage,ToolAttachParent,ToolCount,ToolMessageSender,ToolType,TriageSortCommand,VoiceCaptureCommandDescription,VoiceCaptureMessage,
BAG_ACCESS,10776,9/18/2024 2:46:26 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.0, 0.0, 0.0)",
TOOL_HOVER,11281,9/18/2024 2:46:27 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,11989,9/18/2024 2:46:27 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,12501,9/18/2024 2:46:28 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,13015,9/18/2024 2:46:28 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,13515,9/18/2024 2:46:29 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,14017,9/18/2024 2:46:29 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,14684,9/18/2024 2:46:30 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,14781,9/18/2024 2:46:30 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Pulse Oximeter,
TOOL_HOVER,14879,9/18/2024 2:46:30 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,15184,9/18/2024 2:46:30 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Pulse Oximeter,
TOOL_HOVER,15379,9/18/2024 2:46:31 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Blanket,
TOOL_HOVER,15879,9/18/2024 2:46:31 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Fentanyl Lollipop,
TOOL_HOVER,15976,9/18/2024 2:46:31 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,IV Saline,
TOOL_HOVER,16479,9/18/2024 2:46:32 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,IV Saline,
TOOL_HOVER,16993,9/18/2024 2:46:32 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,IV Saline,
BAG_CLOSED,24508,9/18/2024 2:46:40 PM,1aee4622-6609-44b7-bc2b-1c7c0d0d9ed1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.0, 0.0, 0.0)",
SESSION_START,26577,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,
PATIENT_RECORD,26577,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,Infinity,normal,Springer,upset,supine,"(5.0, 0.0, -5.4)",normal,"(0.0, -1.0, 0.0, 0.2)",normal,IMMEDIATE,still,
INJURY_RECORD,26577,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,chest,R Shoulder Puncture,"(4.9, 1.5, -5.3)",woundpack,3,0,medium,False,False,,,,,Springer,
INJURY_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,leftArm,L Shoulder Broken,"(5.4, 1.4, -5.5)",splint,1,0,medium,False,False,,,,,Springer,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,Infinity,normal,Upton,upset,supine,"(4.9, 0.0, -9.6)",normal,"(0.0, -0.3, 0.0, 1.0)",normal,IMMEDIATE,still,
INJURY_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,chest,R Shoulder Puncture,"(5.0, 1.5, -9.5)",woundpack,3,0,medium,False,False,,,,,Upton,
INJURY_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,leftArm,L Shoulder Broken,"(4.6, 1.4, -9.8)",splint,1,0,medium,False,False,,,,,Upton,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,128,normal,Squad Member 1,calm,standing,"(1.8, 0.0, -7.3)",normal,"(0.0, -1.0, 0.0, 0.2)",normal,MINIMAL,still,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,Infinity,normal,Squad Member 2,calm,standing,"(6.7, 0.0, -6.0)",normal,"(0.0, -1.0, 0.0, 0.3)",normal,MINIMAL,still,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,128,normal,Squad Member 3,calm,standing,"(6.4, 0.0, -8.6)",normal,"(0.0, -0.5, 0.0, 0.9)",normal,MINIMAL,still,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,Infinity,normal,us_soldier,upset,fetal,"(5.1, 0.0, 10.6)",normal,"(0.0, 0.8, 0.0, 0.6)",normal,IMMEDIATE,still,
INJURY_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,rightLeg,R Calf Puncture,"(5.0, 0.3, 10.5)",tourniquet,1,0,medium,False,False,,,,,us_soldier,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,128,normal,Squad Member 4,calm,standing,"(8.2, 0.0, 9.3)",normal,"(0.0, -0.7, 0.0, 0.7)",normal,MINIMAL,still,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,normal,100,Infinity,normal,Unharmed Attacker,upset,standing,"(1.6, 0.0, 10.3)",normal,"(0.0, 0.7, 0.0, 0.7)",normal,MINIMAL,still,
PATIENT_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,fast,100,Infinity,normal,attacker,agony,supine,"(3.7, 0.0, 9.0)",fast,"(0.0, 0.9, 0.0, 0.4)",low,IMMEDIATE,still,
INJURY_RECORD,26578,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,abdomen,Open Abdominal Wound,"(3.6, 1.3, 9.2)",none,1,0,high,False,False,,,,,attacker,
PLAYER_POSITIONS,26838,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.9, -8.9)","(0.8, 1.7, -9.0)","(1.1, 0.8, -8.8)",
PLAYER_POSITIONS,26838,9/18/2024 2:46:42 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.9, -8.9)","(0.8, 1.7, -9.0)","(1.1, 0.8, -8.8)",
PLAYER_POSITIONS,27339,9/18/2024 2:46:43 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -9.0)","(0.9, 1.7, -9.0)","(1.1, 0.8, -8.8)",
PLAYER_POSITIONS,27339,9/18/2024 2:46:43 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -9.0)","(0.9, 1.7, -9.0)","(1.1, 0.8, -8.8)",
PLAYER_POSITIONS,27860,9/18/2024 2:46:43 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.9, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,27860,9/18/2024 2:46:43 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.9, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,28389,9/18/2024 2:46:44 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 1.4, -8.7)","(0.9, 1.6, -8.9)","(1.2, 1.3, -8.7)",
PLAYER_POSITIONS,28389,9/18/2024 2:46:44 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 1.4, -8.7)","(0.9, 1.6, -8.9)","(1.2, 1.3, -8.7)",
PLAYER_POSITIONS,28907,9/18/2024 2:46:44 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.7, -8.9)","(0.9, 1.6, -8.9)","(1.2, 1.7, -8.9)",
PLAYER_POSITIONS,28907,9/18/2024 2:46:44 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.7, -8.9)","(0.9, 1.6, -8.9)","(1.2, 1.7, -8.9)",
PLAYER_POSITIONS,29407,9/18/2024 2:46:45 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
PLAYER_POSITIONS,29407,9/18/2024 2:46:45 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
PLAYER_POSITIONS,29911,9/18/2024 2:46:45 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
PLAYER_POSITIONS,29911,9/18/2024 2:46:45 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
PLAYER_POSITIONS,30472,9/18/2024 2:46:46 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
